Materials,Predictions,Experiments,First ionization energy difference,Pauling electronegativity difference,Average lattice size,Lattice size difference,Fermi level difference
(CaSrYLaNd)B6,Single,Single,4.888217499,8.94914487,4.1512,0.780943179,25.3317878
(CaBaLaCeGd)B6,Single,Single,6.310772418,10.07840916,4.1662,1.434501544,27.85113106
(CaScLaCeGd)B6,Single,Single,6.431890962,10.40366531,4.125,0.821814606,21.09631423
(CaSrScNdGd)B6,Single,Single,6.087069811,12.9578798,4.132,1.056576958,16.61306002
(MgSrYSmEu)B6,Single,Single,12.40597813,10.21358581,4.1378,0.869409719,19.8499186
(BaScCeNdEu)B6,Single,Single,7.992264265,13.27306152,4.1542,1.630541571,24.99594699
(MgCaScLaYb)B6,Single,Single,10.67397397,11.69900151,4.125,0.796244629,30.1105371
(CaBaLaSmDy)B6,Single,Single,5.46435034,11.03719914,4.1618,1.5182543,26.47148347
(MgYCeSmDy)B6,Single,Single,12.3041399,5.219828732,4.1124,0.315780237,17.44105066
(CaBaCeEuHo)B6,Single,Single,5.748119461,11.67532684,4.1612,1.502414622,27.13024463
(BaYLaGdDy)B6,Single,Single,6.475699663,11.19991671,4.1494,1.670425245,22.23229002
(CaLaCeNdYb)B6,Single,Single,5.440149833,4.426024166,4.1418,0.361807092,27.97618119
(CaLaCeGdHo)B6,Single,Single,4.53531697,7.167595303,4.1288,0.686827044,20.32838918
(CaYCeSmYb)B6,Single,Single,5.059311581,6.583310272,4.1262,0.368951233,23.36934189
(LaCeSmEuDy)B6,Single,Single,2.478387915,3.93993912,4.1336,0.615371128,22.70059755
(CaCeEuGdDy)B6,Single,Single,4.101806368,7.106647406,4.127,0.582947967,22.81012947
(SrScSmEuYb)B6,Single,Single,6.283989899,11.56196155,4.1342,1.028439867,19.29421332
(CaScSmGdYb)B6,Single,Single,4.815767275,10.19970411,4.1138,0.627025453,17.64518132
(YLaSmEuYb)B6,Single,Single,5.081211653,4.314333678,4.1338,0.561602208,28.29378626
(CaNdSmEuTm)B6,Single,Single,4.597453169,7.312305447,4.1276,0.639633567,17.63466029
(CaBaSmHoYb)B6,Single,Single,6.452304869,11.24555285,4.1526,1.576072692,20.44664692
(MgCaLaNdEr)B6,Single,Single,12.40424632,9.339209558,4.13,0.677100797,24.95295358
(MgCaSrBaSc)B6,Single,Single,13.3030148,17.60903263,4.1624,1.726471429,14.08073824
(SrBaSmYbLu)B6,Single,Single,6.183308324,12.97924926,4.1596,1.724754164,21.15136645
(CaBaYLaYb)B6,Single,Single,7.004266004,10.424371,4.1648,1.453347131,31.49467688
(BaSmEuYbLu)B6,Single,Single,6.178972579,11.5466593,4.1502,1.655775007,21.67205247
(CaNdEuGdTm)B6,Single,Single,4.637490958,7.456660845,4.1244,0.682789397,17.99958142
(SrCeNdEuTm)B6,Single,Multiple,4.204818134,8.998467546,4.1406,0.9341946,23.92473679
(SrCeNdSmEr)B6,Single,Multiple,3.728845223,8.544631462,4.135,0.89355775,17.97146166
(ScYNdEuGd)B6,Multiple,Single,6.281782593,5.972440158,4.1134,0.686167447,14.97223228
(SrSmGdDyYb)B6,Multiple,Single,4.061236119,8.675269378,4.1286,0.914731212,19.6507381
(MgScNdEuDy)B6,Multiple,Single,12.36369329,6.331647808,4.1132,0.698798968,18.06872824
(MgCaYCeLu)B6,Multiple,Multiple,12.79645985,9.444365371,4.1146,0.62297165,21.64456423
(CaBaScSmHo)B6,Multiple,Multiple,7.704585712,14.75516106,4.142,1.76061368,17.18536945
(ScYLaCeTm)B6,Multiple,Multiple,6.595295137,7.787913381,4.1114,0.848800029,14.28569094
(SrScLaNdTm)B6,Multiple,Multiple,6.791660926,11.9576144,4.131,1.19506187,21.50752684
(MgSrLaNdLu)B6,Multiple,Multiple,14.07343204,11.1323999,4.1376,1.054770433,26.09499122
(MgScYSmTm)B6,Multiple,Multiple,10.3260121,5.289483128,4.0974,0.437836181,12.91552686
(ScYLaNdLu)B6,Multiple,Multiple,7.632220842,7.603176948,4.1104,0.879145782,13.80711011
(MgScYDyHo)B6,Multiple,Multiple,9.613571736,4.500108081,4.0946,0.324220716,13.124426
(BaScYCeNd)B6,Multiple,Multiple,8.582327139,13.37784844,4.1442,1.70491818,19.71016439
(BaYCeGdEr)B6,Multiple,Multiple,6.824093031,11.34245869,4.1412,1.688771341,19.39221476
(MgBaYHoEr)B6,Multiple,Multiple,12.61826822,12.51539388,4.1344,1.748499701,19.10201073
(CaScYGdYb)B6,Multiple,Multiple,2.540811572,10.28314045,4.1108,0.629742354,18.06032497
(CeNdEuGdHo)B6,Multiple,Multiple,4.446634557,3.495969488,4.123,0.55371829,18.80513958
(MgCaNdSmLu)B6,Multiple,Multiple,13.54354677,9.227625291,4.1178,0.612324097,16.34441359
(SrScYDyTm)B6,Multiple,Multiple,4.747865366,11.26696252,4.1106,1.131951305,13.71394136
(ScYSmEuDy)B6,Multiple,Multiple,5.775424005,5.31644067,4.1088,0.663388157,14.65280043
(MgScLaDyYb)B6,Multiple,Multiple,11.03499491,8.725996884,4.114,0.773566331,27.49098723
(CaSrScCeEr)B6,Multiple,Multiple,5.985659401,13.33407984,4.1288,1.113640662,22.00490687
(CaScNdDyHo)B6,Multiple,Multiple,5.512379109,9.942991232,4.1084,0.704879801,11.8953743
(MgLaNdDyEr)B6,Multiple,Multiple,12.58463278,6.190041676,4.119,0.697747408,20.48762153
(BaLaCeHoTm)B6,Multiple,Multiple,6.157299679,11.47414505,4.15,1.710809435,23.2262026
(MgSrLaErLu)B6,Multiple,Multiple,13.30410434,11.28226282,4.1284,1.164049832,26.09608099
(CaSrEuDyHo)B6,Multiple,Multiple,2.997902172,10.69939441,4.1382,0.992052977,19.36393877
